id,platform,event_name,publish_time,content,like_count,comment_count,repost_count,author_type,target
1,微博,校园服务争议,2026-04-01 09:10,网传学校新规要限制外卖进校，真的假的，等官方回应。,42,12,5,普通用户,学校
2,微博,校园服务争议,2026-04-01 10:20,如果只是为了安全可以理解，但通知写得太模糊，学生当然会担心。,81,20,8,普通用户,学校
3,微博,校园服务争议,2026-04-01 11:05,支持学校加强管理，不过也要给学生一个合理过渡期。,36,9,2,普通用户,学校
4,微博,校园服务争议,2026-04-01 13:30,这次回应太敷衍了，核心问题没有解释清楚。,120,45,18,普通用户,学校
5,微博,校园服务争议,2026-04-01 14:00,听说有同学已经反馈过很多次，为什么之前一直拖延？,63,16,7,普通用户,学校
6,微博,校园服务争议,2026-04-02 08:15,官方如果能把安全风险、商家资质和配送路线说清楚，大家应该能理解。,58,11,4,普通用户,学校
7,小红书,校园服务争议,2026-04-02 09:45,我更关心宿舍区选择变少了，生活便利性确实下降。,92,30,10,普通用户,学校
8,小红书,校园服务争议,2026-04-02 10:10,不是反对管理，是反对一刀切。,210,66,32,普通用户,学校
9,小红书,校园服务争议,2026-04-02 10:40,学校后续补充说明还算及时，但希望能开放学生反馈渠道。,77,15,6,普通用户,学校
10,微博,校园服务争议,2026-04-02 11:25,有没有权威消息？目前截图太多了，很多说法互相矛盾。,101,28,12,普通用户,学校
11,微博,校园服务争议,2026-04-02 12:00,这件事不能只看情绪，安全和便利确实都要兼顾。,44,8,1,普通用户,学校
12,公众号留言,校园服务争议,2026-04-02 13:15,建议公布决策依据和试运行期限，不然大家会觉得被忽视。,65,14,3,普通用户,学校
13,小红书,校园服务争议,2026-04-02 15:30,太离谱了，学生需求不是一句管理需要就能盖过去。,180,54,27,普通用户,学校
14,微博,校园服务争议,2026-04-02 16:20,据说明天会开说明会，先观望，不要急着下结论。,39,5,2,普通用户,学校
15,微博,校园服务争议,2026-04-03 09:00,说明会之后感觉清晰一些，至少知道投诉入口在哪里了。,52,10,3,普通用户,学校
16,小红书,校园服务争议,2026-04-03 10:30,还是不满意，价格和配送时间的问题没有解决。,96,22,8,普通用户,学校
17,问卷,校园服务争议,2026-04-03 11:00,我希望平台、商家、学校三方能公开规则，不要让学生自己猜。,31,0,0,学生,学校
18,问卷,校园服务争议,2026-04-03 11:10,如果能保留特殊时段配送，我可以接受调整。,24,0,0,学生,学校
19,问卷,校园服务争议,2026-04-03 11:20,主要问题是沟通太晚，大家觉得突然被通知。,28,0,0,学生,学校
20,微博,校园服务争议,2026-04-03 13:00,看到补充公告了，态度比第一次好，但执行细节还要继续看。,70,12,5,普通用户,学校
21,微博,校园服务争议,2026-04-03 14:40,坐等通报，别让传言越传越夸张。,38,7,3,普通用户,学校
22,小红书,校园服务争议,2026-04-03 16:50,现在最需要的是透明，而不是让大家在评论区互相猜。,140,31,14,普通用户,学校
23,微博,校园服务争议,2026-04-04 09:20,这次舆论爆发说明日常沟通机制确实要改善。,88,18,6,媒体,学校
24,公众号留言,校园服务争议,2026-04-04 10:00,建议先试点，不要全校直接推行。,49,9,2,普通用户,学校
25,微博,校园服务争议,2026-04-04 11:30,我支持加强安全管理，但反对忽视学生真实生活成本。,155,44,20,普通用户,学校
26,微博,校园服务争议,2026-04-04 13:10,消息源可靠吗？有人说取消了，有人说只是调整入口。,57,13,5,普通用户,学校
27,小红书,校园服务争议,2026-04-04 15:00,学校如果能每周公布反馈处理结果，信任感会高很多。,83,17,4,普通用户,学校
28,问卷,校园服务争议,2026-04-04 16:30,希望后续政策有学生代表参与讨论。,37,0,0,学生,学校
29,微博,校园服务争议,2026-04-05 09:15,热度降下来了，但问题还没有完全结束。,42,6,2,普通用户,学校
30,小红书,校园服务争议,2026-04-05 11:45,目前方案可以先试，但要明确什么时候复盘。,51,8,3,普通用户,学校
31,微博,校园服务争议,2026-04-05 13:20,不要把所有不同意见都当成不配合，很多人只是需要解释。,110,24,9,普通用户,学校
32,公众号留言,校园服务争议,2026-04-05 15:00,这类公共管理议题应该建立常态化协商机制。,69,11,2,专家,学校
33,微博,校园服务争议,2026-04-06 09:10,补充公告写得更清楚后，我身边很多人情绪缓和了。,62,10,2,普通用户,学校
34,小红书,校园服务争议,2026-04-06 10:25,还有一些执行人员口径不一致，容易造成新的不满。,78,19,4,普通用户,学校
35,问卷,校园服务争议,2026-04-06 11:30,我现在最关心反馈有没有真的被采纳。,33,0,0,学生,学校
36,微博,校园服务争议,2026-04-06 13:45,这件事可以作为一次治理沟通案例复盘，别只等热度过去。,91,16,5,媒体,学校

